epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.495,0.83921,1.28904,1.0482,0.91894,0.94148,0.92217,0.77955,0.63366,0.56068,0.85423,0.000365117,0.000365117,0.000365117
2,17.6578,0.67524,0.59015,0.93579,0.94168,0.9456,0.93206,0.77758,0.68604,0.53637,0.87554,0.000735431,0.000735431,0.000735431
3,25.4776,0.66903,0.54566,0.92356,0.93293,0.94824,0.9409,0.77368,0.69947,0.51726,0.87745,0.00110566,0.00110566,0.00110566
4,33.2871,0.63754,0.51878,0.91379,0.91995,0.94212,0.94684,0.80112,0.59705,0.46811,0.84851,0.00111073,0.00111073,0.00111073
5,41.0513,0.60091,0.50112,0.89944,0.94619,0.94748,0.95128,0.83568,0.56211,0.42044,0.82706,0.00111052,0.00111052,0.00111052
6,48.7803,0.5856,0.49009,0.89334,0.94116,0.94738,0.94627,0.85031,0.51083,0.4338,0.81749,0.00111025,0.00111025,0.00111025
7,56.776,0.57485,0.47567,0.89411,0.94469,0.94768,0.95202,0.84363,0.55132,0.4112,0.82277,0.00110991,0.00110991,0.00110991
8,64.5125,0.56538,0.46907,0.8901,0.94637,0.94646,0.95841,0.84139,0.50108,0.38843,0.80566,0.00110952,0.00110952,0.00110952
9,72.3007,0.55142,0.46334,0.88717,0.94698,0.94705,0.95775,0.85088,0.5154,0.39609,0.81115,0.00110907,0.00110907,0.00110907
10,79.991,0.57476,0.46364,0.89112,0.93641,0.94642,0.95824,0.83899,0.54503,0.40887,0.82096,0.00110856,0.00110856,0.00110856
11,87.67,0.56613,0.458,0.89002,0.93978,0.94741,0.95505,0.83602,0.55789,0.3989,0.81589,0.00110799,0.00110799,0.00110799
12,95.3114,0.53843,0.43814,0.88121,0.94548,0.9461,0.95922,0.8331,0.56796,0.40902,0.82403,0.00110736,0.00110736,0.00110736
13,103.021,0.55721,0.45162,0.88364,0.94411,0.94677,0.95473,0.85174,0.50478,0.38137,0.80769,0.00110666,0.00110666,0.00110666
14,110.741,0.52968,0.4388,0.87995,0.94503,0.94826,0.95962,0.85356,0.49205,0.38729,0.81471,0.00110591,0.00110591,0.00110591
15,118.44,0.52739,0.43667,0.87904,0.94746,0.9466,0.95595,0.86284,0.47794,0.37498,0.81123,0.0011051,0.0011051,0.0011051
16,126.144,0.52355,0.43645,0.87805,0.94023,0.94832,0.9593,0.86835,0.4549,0.37195,0.80316,0.00110423,0.00110423,0.00110423
17,133.878,0.51813,0.42369,0.87597,0.94274,0.94615,0.96056,0.86437,0.47748,0.37454,0.80818,0.0011033,0.0011033,0.0011033
18,141.885,0.5092,0.42434,0.87345,0.94789,0.94788,0.95895,0.86406,0.50108,0.39286,0.80836,0.00110231,0.00110231,0.00110231
19,149.858,0.50991,0.42239,0.87306,0.94547,0.94769,0.95993,0.85941,0.50054,0.37819,0.80932,0.00110126,0.00110126,0.00110126
20,157.659,0.50084,0.41844,0.87164,0.94492,0.94784,0.95804,0.86346,0.47312,0.37812,0.79772,0.00110015,0.00110015,0.00110015
21,165.471,0.49916,0.42036,0.87218,0.94241,0.9476,0.95621,0.85945,0.5058,0.37747,0.8105,0.00109898,0.00109898,0.00109898
22,173.14,0.49279,0.41846,0.87171,0.94685,0.94625,0.95993,0.87474,0.48939,0.38354,0.80979,0.00109776,0.00109776,0.00109776
23,181.285,0.48505,0.41476,0.87173,0.94499,0.94828,0.95936,0.87509,0.45414,0.35995,0.79796,0.00109647,0.00109647,0.00109647
24,189.122,0.47035,0.39585,0.86291,0.94628,0.94801,0.95891,0.88117,0.46422,0.3608,0.79951,0.00109513,0.00109513,0.00109513
25,196.837,0.46358,0.39601,0.86233,0.94768,0.94805,0.95902,0.87278,0.49241,0.3703,0.80235,0.00109372,0.00109372,0.00109372
26,204.649,0.46782,0.40136,0.86536,0.94385,0.94829,0.96056,0.87752,0.47782,0.36499,0.80089,0.00109226,0.00109226,0.00109226
27,212.589,0.45996,0.40103,0.8614,0.94439,0.94811,0.95798,0.88122,0.47179,0.37711,0.79962,0.00109074,0.00109074,0.00109074
28,220.573,0.46165,0.39857,0.86363,0.94709,0.94758,0.95892,0.88014,0.45377,0.36957,0.79536,0.00108916,0.00108916,0.00108916
29,228.313,0.46385,0.40405,0.8633,0.94292,0.94791,0.95778,0.88095,0.45888,0.36594,0.79966,0.00108753,0.00108753,0.00108753
30,236.021,0.45566,0.39489,0.86138,0.93687,0.94809,0.95794,0.87724,0.45064,0.35272,0.79464,0.00108583,0.00108583,0.00108583
31,243.688,0.45367,0.39013,0.86157,0.9444,0.94475,0.96184,0.89003,0.43408,0.35857,0.79769,0.00108408,0.00108408,0.00108408
32,251.512,0.4498,0.39823,0.86008,0.94595,0.94557,0.95771,0.87003,0.48059,0.35904,0.80078,0.00108228,0.00108228,0.00108228
33,259.092,0.44462,0.38215,0.85756,0.94667,0.9462,0.9592,0.88014,0.45423,0.35865,0.7932,0.00108041,0.00108041,0.00108041
34,266.805,0.44972,0.39485,0.85998,0.94523,0.94638,0.9594,0.87683,0.46272,0.3511,0.8022,0.00107849,0.00107849,0.00107849
35,274.495,0.45035,0.39249,0.86203,0.94699,0.94799,0.95715,0.8762,0.45849,0.3603,0.79901,0.00107651,0.00107651,0.00107651
36,282.218,0.44208,0.3871,0.85841,0.94374,0.94819,0.96133,0.88264,0.45982,0.34437,0.79455,0.00107447,0.00107447,0.00107447
37,289.959,0.4446,0.39105,0.86087,0.93655,0.94795,0.95636,0.87606,0.44029,0.35468,0.79174,0.00107238,0.00107238,0.00107238
38,297.855,0.44393,0.38913,0.85908,0.93897,0.94809,0.96045,0.89182,0.42696,0.35827,0.7884,0.00107023,0.00107023,0.00107023
39,305.764,0.45541,0.39454,0.86038,0.942,0.94835,0.96057,0.88681,0.43899,0.34097,0.78843,0.00106803,0.00106803,0.00106803
40,313.407,0.43317,0.3794,0.85338,0.94247,0.94795,0.96263,0.89047,0.43232,0.34457,0.79167,0.00106577,0.00106577,0.00106577
41,321.024,0.4332,0.38818,0.85993,0.93711,0.94763,0.95993,0.88486,0.44769,0.37088,0.79814,0.00106345,0.00106345,0.00106345
42,328.684,0.4263,0.37547,0.85164,0.94003,0.94781,0.95981,0.88936,0.43655,0.3493,0.79284,0.00106108,0.00106108,0.00106108
43,336.356,0.446,0.38567,0.85969,0.94734,0.94824,0.96265,0.88274,0.44236,0.34215,0.79002,0.00105866,0.00105866,0.00105866
44,344.042,0.42868,0.37649,0.85362,0.94707,0.94825,0.96171,0.88397,0.44215,0.33994,0.78953,0.00105618,0.00105618,0.00105618
45,351.71,0.42907,0.38127,0.8565,0.94386,0.94792,0.96253,0.89235,0.42612,0.34505,0.79211,0.00105365,0.00105365,0.00105365
46,359.376,0.42102,0.37627,0.85433,0.94646,0.94823,0.96223,0.88921,0.43545,0.34006,0.79361,0.00105106,0.00105106,0.00105106
47,367.021,0.4266,0.37879,0.85304,0.94765,0.94788,0.96305,0.88423,0.43728,0.34146,0.79207,0.00104842,0.00104842,0.00104842
48,374.732,0.43067,0.37565,0.85387,0.94768,0.94807,0.9638,0.88857,0.44078,0.34491,0.79339,0.00104572,0.00104572,0.00104572
49,382.647,0.43202,0.37867,0.85559,0.94575,0.94888,0.96349,0.884,0.42953,0.32839,0.79282,0.00104298,0.00104298,0.00104298
50,390.841,0.41753,0.37311,0.85326,0.94412,0.94827,0.96056,0.88426,0.45024,0.34178,0.79222,0.00104017,0.00104017,0.00104017
51,398.932,0.41641,0.37328,0.85448,0.94588,0.94791,0.962,0.89614,0.41219,0.3309,0.79086,0.00103732,0.00103732,0.00103732
52,406.9,0.41551,0.36519,0.84938,0.87003,0.94782,0.96187,0.88391,0.43303,0.34712,0.79586,0.00103442,0.00103442,0.00103442
53,414.438,0.41794,0.37329,0.85486,0.94804,0.94824,0.96133,0.89324,0.40863,0.33325,0.78972,0.00103146,0.00103146,0.00103146
54,421.994,0.41674,0.36899,0.85094,0.94865,0.94806,0.96296,0.88638,0.41952,0.33471,0.791,0.00102845,0.00102845,0.00102845
55,429.667,0.42156,0.37521,0.85589,0.94787,0.94835,0.96258,0.89271,0.42367,0.3384,0.79155,0.00102539,0.00102539,0.00102539
56,437.429,0.41894,0.37073,0.85555,0.94816,0.94817,0.96186,0.89077,0.43103,0.34123,0.78835,0.00102228,0.00102228,0.00102228
57,445.195,0.41267,0.36147,0.84841,0.94447,0.94837,0.96122,0.89148,0.42228,0.33736,0.79062,0.00101912,0.00101912,0.00101912
58,452.94,0.41629,0.36836,0.85041,0.94623,0.94777,0.96353,0.89709,0.40933,0.33353,0.78621,0.0010159,0.0010159,0.0010159
59,460.748,0.41124,0.364,0.84829,0.94518,0.94824,0.96092,0.88697,0.43715,0.33528,0.78609,0.00101264,0.00101264,0.00101264
60,468.386,0.41162,0.36042,0.8484,0.94843,0.9481,0.96332,0.8892,0.43667,0.33689,0.78891,0.00100933,0.00100933,0.00100933
61,475.983,0.4085,0.36183,0.8469,0.94759,0.9483,0.96271,0.88996,0.44605,0.33024,0.79094,0.00100597,0.00100597,0.00100597
62,483.583,0.40368,0.35822,0.85019,0.94779,0.94831,0.96169,0.89072,0.42593,0.33079,0.78853,0.00100256,0.00100256,0.00100256
63,491.232,0.40931,0.36604,0.85167,0.94779,0.94833,0.96114,0.88525,0.43483,0.32999,0.79073,0.000999103,0.000999103,0.000999103
64,498.868,0.40783,0.35904,0.84685,0.94782,0.94677,0.95953,0.89184,0.42052,0.33395,0.7885,0.000995597,0.000995597,0.000995597
65,506.461,0.4172,0.37593,0.85451,0.94573,0.94723,0.96055,0.89093,0.4281,0.3306,0.78632,0.000992043,0.000992043,0.000992043
