epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8637,0.92955,2.08678,0.00605,0.74941,0.7601,0.78143,0.62005,0.8897,0.82642,0.00707,0.000365871,0.000365871,0.000365871
2,25.9864,0.79313,0.85793,0.00505,0.85068,0.89238,0.88902,0.7856,0.61965,0.54417,0.00509,0.000736185,0.000736185,0.000736185
3,37.4194,0.75087,0.70233,0.00478,0.91636,0.91675,0.92013,0.81289,0.64397,0.44247,0.00523,0.00110642,0.00110642,0.00110642
4,48.7259,0.74731,0.62449,0.00477,0.8208,0.91331,0.91069,0.79606,0.64341,0.49737,0.00542,0.00111073,0.00111073,0.00111073
5,59.9292,0.74622,0.59344,0.00452,0.92106,0.92634,0.94145,0.81575,0.63335,0.40884,0.00521,0.00111052,0.00111052,0.00111052
6,71.2343,0.72989,0.57691,0.00451,0.92084,0.92995,0.93814,0.82827,0.58075,0.38015,0.00481,0.00111025,0.00111025,0.00111025
7,82.7908,0.7082,0.54505,0.00456,0.8642,0.92361,0.91865,0.82557,0.5439,0.40512,0.00442,0.00110991,0.00110991,0.00110991
8,93.987,0.68736,0.54034,0.00408,0.93642,0.91459,0.94189,0.84661,0.5962,0.39431,0.00457,0.00110952,0.00110952,0.00110952
9,105.417,0.66432,0.50874,0.00403,0.86686,0.91825,0.93813,0.82684,0.5822,0.42253,0.00468,0.00110907,0.00110907,0.00110907
10,116.585,0.66504,0.51262,0.00407,0.90525,0.9258,0.94686,0.85246,0.52269,0.37806,0.00426,0.00110856,0.00110856,0.00110856
11,127.976,0.68446,0.50248,0.00414,0.92966,0.90997,0.94653,0.84854,0.51525,0.37511,0.00428,0.00110799,0.00110799,0.00110799
12,139.122,0.66035,0.49458,0.00389,0.94046,0.91544,0.95001,0.85219,0.5271,0.3626,0.00437,0.00110736,0.00110736,0.00110736
13,150.612,0.65961,0.48932,0.00384,0.93865,0.91823,0.95079,0.86892,0.49419,0.36897,0.00377,0.00110666,0.00110666,0.00110666
14,162.151,0.63506,0.47469,0.00384,0.93487,0.92855,0.95187,0.85568,0.54155,0.36472,0.00428,0.00110591,0.00110591,0.00110591
15,173.479,0.63989,0.47709,0.00389,0.93365,0.93001,0.94863,0.85662,0.53794,0.37284,0.00411,0.0011051,0.0011051,0.0011051
16,184.864,0.6388,0.48007,0.00407,0.94142,0.93163,0.95238,0.84359,0.56172,0.36204,0.00443,0.00110423,0.00110423,0.00110423
17,196.102,0.62315,0.47177,0.00376,0.91399,0.93226,0.94511,0.85066,0.48184,0.3744,0.00371,0.0011033,0.0011033,0.0011033
18,207.467,0.61026,0.46038,0.00363,0.93263,0.93256,0.95248,0.84993,0.57559,0.36466,0.0044,0.00110231,0.00110231,0.00110231
19,218.745,0.5899,0.45227,0.00355,0.92786,0.92375,0.94986,0.84772,0.55291,0.38716,0.00422,0.00110126,0.00110126,0.00110126
20,230.086,0.57656,0.45355,0.00346,0.94175,0.92193,0.94525,0.83576,0.59706,0.36358,0.00496,0.00110015,0.00110015,0.00110015
21,241.312,0.59404,0.44726,0.00365,0.94468,0.92864,0.95212,0.85438,0.53599,0.35891,0.00413,0.00109898,0.00109898,0.00109898
22,253.328,0.6042,0.45872,0.00378,0.93362,0.92687,0.95113,0.865,0.54189,0.38214,0.00401,0.00109776,0.00109776,0.00109776
23,264.902,0.57054,0.45645,0.00347,0.92656,0.92896,0.95397,0.86954,0.48996,0.35414,0.00381,0.00109647,0.00109647,0.00109647
24,276.466,0.55699,0.42184,0.0034,0.92552,0.9289,0.9547,0.87287,0.5238,0.34838,0.00396,0.00109513,0.00109513,0.00109513
25,287.783,0.55464,0.43221,0.00342,0.92212,0.93414,0.95348,0.86324,0.55358,0.37525,0.00385,0.00109372,0.00109372,0.00109372
26,299.036,0.56222,0.43252,0.00333,0.93459,0.93122,0.95239,0.86049,0.57089,0.38055,0.00387,0.00109226,0.00109226,0.00109226
27,310.334,0.54586,0.43358,0.00329,0.94273,0.91461,0.95063,0.86095,0.51346,0.3471,0.00388,0.00109074,0.00109074,0.00109074
28,321.61,0.55789,0.42596,0.00335,0.93546,0.92736,0.95662,0.85324,0.53037,0.34967,0.00392,0.00108916,0.00108916,0.00108916
29,332.923,0.5483,0.43356,0.00319,0.92951,0.92653,0.94854,0.86297,0.50685,0.36573,0.00374,0.00108753,0.00108753,0.00108753
30,344.253,0.54415,0.42126,0.00317,0.94391,0.92769,0.95148,0.86834,0.52127,0.34703,0.00378,0.00108583,0.00108583,0.00108583
31,355.592,0.54506,0.41159,0.00332,0.93834,0.93029,0.95584,0.87059,0.51876,0.36118,0.00374,0.00108408,0.00108408,0.00108408
32,366.882,0.55018,0.43151,0.00326,0.93839,0.93292,0.95659,0.86912,0.53703,0.35959,0.00391,0.00108228,0.00108228,0.00108228
33,378.269,0.53078,0.40407,0.00313,0.94105,0.92535,0.95418,0.87297,0.4786,0.34323,0.00345,0.00108041,0.00108041,0.00108041
34,389.599,0.54349,0.42219,0.00317,0.93725,0.93859,0.95748,0.87829,0.49629,0.34888,0.00368,0.00107849,0.00107849,0.00107849
35,400.815,0.53285,0.40516,0.00301,0.93661,0.92866,0.95712,0.87922,0.50113,0.34777,0.00346,0.00107651,0.00107651,0.00107651
36,412.188,0.51803,0.41032,0.003,0.93598,0.9251,0.95673,0.88336,0.47947,0.35672,0.00331,0.00107447,0.00107447,0.00107447
37,423.59,0.52322,0.42652,0.00308,0.91868,0.91886,0.9556,0.87029,0.47267,0.34054,0.00355,0.00107238,0.00107238,0.00107238
38,434.914,0.53761,0.41901,0.00328,0.94487,0.91644,0.95673,0.86763,0.5058,0.34778,0.00376,0.00107023,0.00107023,0.00107023
39,446.178,0.52299,0.41762,0.00312,0.93299,0.94183,0.95743,0.87608,0.47586,0.33881,0.00362,0.00106803,0.00106803,0.00106803
40,457.59,0.51552,0.4046,0.00305,0.93976,0.931,0.95621,0.88629,0.47092,0.34249,0.00334,0.00106577,0.00106577,0.00106577
41,468.87,0.51825,0.41445,0.00316,0.93493,0.93827,0.95977,0.88906,0.4753,0.33593,0.00344,0.00106345,0.00106345,0.00106345
42,480.378,0.52684,0.4126,0.00323,0.91828,0.91809,0.94835,0.86704,0.46697,0.35724,0.00362,0.00106108,0.00106108,0.00106108
43,492.144,0.52866,0.41586,0.00319,0.93439,0.92638,0.9552,0.8775,0.48582,0.34505,0.00356,0.00105866,0.00105866,0.00105866
44,503.847,0.5102,0.40708,0.003,0.93996,0.9373,0.95917,0.89283,0.45498,0.34004,0.00337,0.00105618,0.00105618,0.00105618
45,515.666,0.51223,0.4126,0.00311,0.93266,0.93946,0.95652,0.87146,0.48054,0.34103,0.00365,0.00105365,0.00105365,0.00105365
46,526.903,0.51349,0.40653,0.00318,0.93503,0.9318,0.96005,0.88973,0.48686,0.34432,0.00348,0.00105106,0.00105106,0.00105106
47,538.025,0.51543,0.41348,0.00311,0.93282,0.93888,0.95649,0.8796,0.48238,0.33363,0.00353,0.00104842,0.00104842,0.00104842
48,549.469,0.50361,0.39197,0.00294,0.93216,0.94163,0.95766,0.88337,0.46667,0.34081,0.00348,0.00104572,0.00104572,0.00104572
49,560.99,0.52815,0.41952,0.00317,0.94302,0.94236,0.95879,0.88815,0.4676,0.33958,0.00339,0.00104298,0.00104298,0.00104298
50,572.251,0.51533,0.41619,0.00306,0.9448,0.93428,0.95498,0.88787,0.4576,0.34903,0.00327,0.00104017,0.00104017,0.00104017
